target,budget,actorAv0,actorAv1,actorAv2,actorAv3,actorAv4,actorAv5,actorAv6,actorAv7,actorAv8,actorAv9,actorPo0,actorPo1,actorPo2,actorPo3,actorPo4,actorPo5,actorPo6,actorPo7,actorPo8,actorPo9,crewAv0,crewAv1,crewAv2,crewAv3,crewAv4,crewAv5,crewAv6,crewPo0,crewPo1,crewPo2,crewPo3,crewPo4,crewPo5,crewPo6
79,10000000,6.700000000000001,7.1607142857142865,4.898305084745762,6.6529411764705895,4.897560975609757,4.546428571428572,4.944444444444445,6.217391304347827,5.981818181818182,5.076190476190476,8.466,4.483,1.4,2.083,1.698,0.896,2.275,0.6,2.234,0.6,7.123809523809525,7.660000000000001,7.123809523809525,7.123809523809525,7.123809523809525,7.123809523809525,7.123809523809525,1.143,0.6,1.143,1.143,1.143,1.143,1.143
69,0,5.952173913043478,6.480000000000001,4.8652173913043475,6.733333333333334,7.100000000000002,6.900000000000001,5.77241379310345,3.290960451977401,5.463225806451612,5.4944444444444445,2.846,0.6,2.785,0.6,1.813,1.049,1.708,1.21,1.4,0.6,4.18974358974359,7.1529411764705895,6.900000000000001,4.18974358974359,4.18974358974359,4.18974358974359,4.18974358974359,0.708,1.094,0.98,0.708,0.708,0.708,0.708
63,40000000,6.132812499999999,5.88,6.258333333333333,6.299999999999998,4.386363636363638,5.324242424242424,6.299999999999998,5.629545454545454,5.453125000000001,6.001324503311258,8.877,1.108,6.281,1.052,3.196,1.116,1.4,2.171,0.624,8.133,6.644999999999999,6.454838709677419,6.284615384615383,6.644999999999999,6.476470588235293,6.1882352941176455,6.1882352941176455,1.484,1.051,4.712,1.484,1.631,1.4,1.166
73,1800000,5.128235294117649,4.52,6.731249999999998,6.878947368421052,7.299999999999998,7.299999999999998,4.857575757575758,6.7799999999999985,5.549999999999999,6.835294117647058,5.591,1.976,2.907,1.438,2.247,16.81,2.091,0.648,0.684,1.372,5.779166666666668,5.292307692307693,5.779166666666668,5.779166666666668,5.779166666666668,5.779166666666668,5.779166666666668,3.407,0.84,3.407,3.407,3.407,3.407,3.407
58,3000000,5.605882352941177,5.55,5.799999999999998,6.079999999999998,4.486538461538461,5.727027027027028,6.149999999999999,4.866666666666666,5.18095238095238,6.039999999999998,2.091,3.076,1.489,1.689,1.63,2.406,4.616,0.6,0.6,1.632,5.868749999999999,4.5249999999999995,5.799999999999998,5.868749999999999,5.868749999999999,5.868749999999999,5.868749999999999,1.673,1.312,0.766,1.673,1.673,1.673,1.673
67,34000000,6.660000000000001,5.562595419847329,6.127906976744187,6.869841269841271,6.700000000000002,5.578048780487805,6.380000000000002,4.0200000000000005,6.12,5.514285714285715,4.403,7.834,7.933,7.923,0.877,4.582,0.952,0.98,0.982,0.701,6.225287356321839,6.260000000000002,6.225287356321839,6.225287356321839,6.225287356321839,6.225287356321839,6.225287356321839,5.451,1.96,5.451,5.451,5.451,5.451,5.451
63,0,6.35,5.496551724137931,6.177777777777776,6.173214285714287,6.10793650793651,3.8874999999999993,6.083333333333331,6.289473684210525,6.423809523809522,6.052941176470587,5.249,7.181,2.151,4.426,10.223,0.652,2.205,1.744,1.137,0.696,5.6875,5.6875,5.6875,5.6875,5.6875,5.6875,5.6875,2.296,2.296,2.296,2.296,2.296,2.296,2.296
65,15000000,6.107692307692307,6.063157894736842,6.258823529411764,5.6170731707317065,6.018867924528302,6.531578947368421,5.96470588235294,6.7,6.5,6.688235294117647,1.453,3.509,3.903,2.166,6.403,2.279,3.678,1.62,0.6,1.046,6.065384615384615,6.345454545454545,6.065384615384615,6.065384615384615,6.065384615384615,6.065384615384615,6.065384615384615,1.622,1.4,1.622,1.622,1.622,1.622,1.622
62,65000000,6.650000000000002,6.175409836065573,5.6326923076923086,6.031818181818185,5.855357142857143,5.637142857142857,5.895000000000001,6.200000000000002,6.200000000000002,6.520000000000001,1.03,7.265,13.351,7.263,4.549,2.695,1.755,0.98,1.509,0.6,6.194736842105264,6.200000000000002,6.309523809523809,6.194736842105264,6.194736842105264,6.194736842105264,6.194736842105264,1.4,0.6,1.146,1.4,1.4,1.4,1.4
63,40000000,6.0955882352941195,5.507446808510639,6.542307692307691,5.791428571428571,5.549999999999999,6.301818181818183,6.171794871794872,6.028571428571428,7.120833333333334,5.4375,11.32,10.09,7.613,8.316,4.382,7.608,3.328,3.816,1.902,1.38,6.669565217391304,6.264705882352939,6.441176470588234,6.669565217391304,6.669565217391304,6.669565217391304,6.669565217391304,1.793,0.652,0.6,1.793,1.793,1.793,1.793
